# Generated by ReviewAid
Filename,Confidence,Paper Title,Conclusion,Type of Study,Population,Intervention,comparison,outcome,Results
martinelli2016.pdf,0.9,Recurrent disease-activity rebound in a patient with multiple sclerosis after natalizumab discontinuations for pregnancy planning,Further studies are required to assess disease course after natalizumab discontinuation and to investigate alternative safe approaches for pregnancy planning.,Case Study,16-year-old woman with multiple sclerosis,Natalizumab discontinuation (for pregnancy planning),Previous clinical and MRI activity studies after natalizumab discontinuation,"Clinical and MRI disease activity (relapses, gadolinium-enhanced lesions on MRI)","Recurrent disease-activity rebound after natalizumab discontinuation for pregnancy planning, with clinical relapses and increased gadolinium-enhanced lesions on MRI; relapses occurred after each discontinuation, requiring treatment restart, no successful pregnancy attempt."
McQueen et al. - 2015 - Increased Relapse Activity for Multiple Sclerosis Natalizumab Users Who Become Nonpersistent A Retr.pdf,1.0,Increased Relapse Activity for Multiple Sclerosis Natalizumab Users Who Become Nonpersistent: A Retrospective Study,The results of this study suggest that real-world persistent natalizumab users who become nonpersistent have meaningful and statistically significant increases in annual relapses and relapse-related costs. Those who transition from nonpersistent to persistent have nonsignificant reductions in relapses and their associated costs.,Retrospective Study,Commercially insured members with multiple sclerosis (MS) who initiated natalizumab,Natalizumab,Persistent vs nonpersistent natalizumab use,Relapse rate and relapse-related costs,"Persistent to nonpersistent treatment patterns were associated with a mean relapse-rate increase of 0.23 (95% CI = 0.12, 0.35), and a mean increase in relapse-related costs of $1,346 (95% CI = $97, $2,595). Nonpersistent to persistent treatment patterns were associated with a mean relapse-rate decrease of -0.15 (95% CI = -0.32, 0.017) and a mean decrease in relapse-related costs of -$1,369 (95% CI = -$2,761, $23)."
Melis et al. - 2014 - Post-natalizumab clinical and radiological findings in a cohort of multiple sclerosis patients 12-m.pdf,0.9,Post-natalizumab clinical and radiological findings in a cohort of multiple sclerosis patients: 12-month follow-up,"A 'rebound' pattern was not identified in our cohort, though the disease activity rapidly returned after natalizumab suspension, regardless of the treatment used.",Observational and retrospective study,A cohort of multiple sclerosis patients previously treated with natalizumab,Suspension of natalizumab (N),"Comparison of clinical and radiological data across pre-N (before treatment), on-N (during treatment), and post-N (after interruption) periods, and among different post-N treatment strategies (restarted natalizumab, other immunomodulatory/immunosuppressive drugs, no treatment).","Clinical and radiological disease activity measures including annualized relapse rate (ARR), expanded disability status scale (EDSS), presence of new T2 lesions and gadolinium-enhancing (Gd+) T1 lesions.","Key findings include: pre-N ARR = 1.74, post-N ARR = 0.94 (no rebound over pre-N levels); post-N disease activity did not exceed pre-N levels for ARR or EDSS; in patients retreated with natalizumab, post-N ARR was significantly lower than pre-N (p=0.017), but not in other groups; mean time to new T2 lesions and Gd+ lesions was shorter post-N compared to on-N (p=0.0000 for both)."
Monschein et al. - 2023 - Real-world use of natalizumab in Austria data from the Austrian Multiple Sclerosis Treatment Regist.pdf,0.9,Real‑world use of natalizumab in Austria: data from the Austrian Multiple Sclerosis Treatment Registry (AMSTR),"In line with real world data available so far, we confirm in a nationwide Austrian registry study the high effectiveness as well as the long-term safety of NTZ in highly active RRMS patients. In particular, no new safety issues including PML numbers occurred, which is in line with international surveillance programmes [7, 11–13]. Our data, therefore, support the use of NTZ as a first line therapy in active RRMS patients due to its excellent benefit-risk-profile, with JCV-seroconversion being the only major limitation in the long-term use of NTZ.",Observational study (registry-based),Patients with multiple sclerosis (RRMS) treated with natalizumab in Austria,Natalizumab,Not Found,"Effectiveness (annualized relapse rate, EDSS progression) and safety (adverse events, PML, treatment discontinuation)","A total of 1596 natalizumab patients (71% women, n = 1133) were included... The mean ARR was 2.0 (SD = 1.13) at baseline, decreasing to 0.16 after 1 year and 0.01 after 10 years. A total of 325 patients (21.6%) converted to secondary progressive multiple sclerosis (SPMS) during the observational period. Of 1502 patients, 1297 (86.4%) reported no adverse events (AE) during follow-up visits. The most common reported AEs were infections and infusion-related reactions. John Cunningham virus (JCV) seropositivity was the most common specified reason for treatment discontinuation (53.7%, n = 607). There were five confirmed cases of Progressive Multifocal Leukoencephalopathy (PML) with 1 death."
Nakamura et al. - 2024 - Natalizumab reduces loss of gray matter and thalamic volume in patients with relapsing-remitting mul.pdf,0.9,"Natalizumab reduces loss of gray matter and thalamic volume in patients with relapsing-remitting multiple sclerosis: A post hoc analysis from the randomized, placebo-controlled AFFIRM trial",These analyses represent the first placebo-controlled evidence supporting a role for natalizumab treatment in mitigating gray matter and thalamic fraction atrophy among patients with RRMS.,"Post hoc analysis (from randomized, placebo-controlled trial)",Patients with relapsing-remitting multiple sclerosis (RRMS),Natalizumab,Placebo,Gray matter and thalamic volume loss (atrophy),"This post hoc analysis identified a reduction of 64.3% (p = 0.0044) and 64.3% (p = 0.0030) in mean percentage gray matter volume loss from baseline at treatment years 1 and 2, respectively, in patients treated with natalizumab versus placebo. The reduction in thalamic fraction volume loss from baseline with natalizumab versus placebo was 57.0% at year 2 (p < 0.0001) and 41.2% at year 1 (p = 0.0147). Similar findings resulted from analyses of absolute gray matter and thalamic fraction volume loss."
Natalizumab related progressive multifocal leukoencephalopathy.pdf,0.9,Natalizumab related progressive multifocal leukoencephalopathy,"Improved approaches to PML risk stratification, optimal drug dosing are needed to guide treatment choices and surveillance of patients.",Review,"Patients with multiple sclerosis (MS) treated with natalizumab, and related populations for PML risk assessment",Natalizumab (a humanized monoclonal antibody targeting α4 integrin),"Standard interval dosing (SID) of natalizumab compared to extended interval dosing (EID), and comparison of risk factors including anti-JCV antibody status, prior immunosuppressive therapy, and duration of natalizumab treatment",Incidence of progressive multifocal leukoencephalopathy (PML),"Findings indicate that natalizumab increases PML risk by impairing CNS immune surveillance and mobilizing CD34 cells, risk factors include positive anti-JCV antibodies, prior immunosuppression, and >24 months of natalizumab use; biomarkers such as anti-JCV antibody index, L-selectin, microRNAs are under investigation; extended interval dosing reduces PML risk compared to standard interval dosing."
Nicholas et al. - 194 Natalizumab treatment for MS UK and global results from TOP.pdf,0.9,DOES SOCIOECONOMIC STATUS IMPACT ON THE PRESCRIPTION OF DISEASE-MODIFYING TREATMENTS IN PEOPLE WITH MULTIPLE SCLEROSIS?,"SES was not predictive of prescription of DMTs in this single-centre study. It would be of interest to compare our data with other MS services, and to map these results onto the inequity in access to DMTs across the UK.",cross-sectional study,734 pwMS aged ≥18 years attending the neuroinflammation service at The Royal London Hospital (Barts Health NHS Trust) between 1997 and 2017,Not Found,Patient income and education vs prescription of high/very-high efficacy DMTs,prescription of disease-modifying treatments (DMTs),"DMTs were categorized as follows: moderate efficacy therapies included Glatiramer Acetate and Beta-Interferons (n=81, 11.04%), high efficacy therapies included Cladribine, Fingolimod and Dimethyl Fumarate (n=409, 55.72%), and very-high efficacy therapies included Natalizumab and Alemtuzumab (n=244, 33.24%). Medians for income and education deciles were 4 (IQR 3–7) and 6 (IQR 4–8), respectively. Patient income was not associated with increased odds of being prescribed high efficacy (OR, 1.02; 95% CI, 0.91–1.14; p=0.814) or very-high efficacy DMTs (OR, 1.01; 95% CI, 0.90–1.14; p=0.732). Similarly, patient education was not associated with the prescription of high efficacy (OR, 0.96; 95% CI, 0.84–1.10; p=0.585) or very-high efficacy DMTs (OR, 0.96; 95% CI, 0.84–1.10; p=0.538)."
Nikfar et al. - 2010 - A meta-analysis on the efficacy and tolerability of natalizumab in relapsing multiple sclerosis.pdf,0.9,A meta-analysis on the efficacy and tolerability of natalizumab in relapsing multiple sclerosis,It seems that using 3 or 6 mg/kg every 4 weeks is the best method of administration of natalizumab for preventing relapse and occurrence of new Gd-enhancing lesions. The current data on the efficacy and safety of natalizumab are insufficient to reach a convincing conclusion and thus further clinical trials are still needed.,meta-analysis,Patients with relapsing multiple sclerosis,Natalizumab,Placebo,"Key outcomes for efficacy included mean change in Expanded Disability Status Scale (EDSS), number of patients with at least one relapse, and number of patients with at least one new gadolinium (Gd)-enhancing lesion; for tolerability included any adverse events, serious adverse events, death, and withdrawal because of adverse events.","Pooled relative risk for at least one relapse in four trials including all doses was 0.7 (non-significant RR, 95% CI: 0.42-1.17, p=0.17); summary RR for at least one relapse in two trials with doses of 3 or 6 mg/kg or 300 mg every 4 weeks was 0.5 (significant, 95% CI: 0.42-0.61, p<0.0001); summary RR for at least one new Gd-enhancing lesion was 0.22 (non-significant, 95% CI: 0.05-1.01, p=0.051). Three deaths reported in natalizumab group; non-significant RR for any adverse events (0.99, 95% CI: 0.96-1.01, p=0.34); significant RR for serious adverse events (0.39, 95% CI: 0.29-0.52, p<0.0001); non-significant RR for withdrawal due to adverse events (1.43, 95% CI: 0.68-3.02, p=0.35)."
PIIS0022510X1830251X.pdf,0.9,Predictors of relapse and disability progression in MS patients who discontinue disease-modifying therapy,Knowledge of post-DMT relapse and disability progression rates and predictors of post-DMT disease activity allows for a more informed discussion of DMT discontinuation in those patients who are considering this option.,Observational cohort study,Multiple sclerosis patients who discontinued disease-modifying therapy,Discontinuation of disease-modifying therapy (DMT),Different disease-modifying therapies (DMTs),Post-DMT relapse and confirmed disability progression (CDP),"Overall post-discontinuation annualized relapse rate was 0.224 (95% CI 0.219, 0.229) and CDP rate was 8.23 (7.72, 8.76) per 100 person-years. Risk of post-DMT relapse was higher in younger patients, female patients, those with moderate disability and a relapse within 1 year of discontinuation. Hazard of CDP increased with increasing disability at baseline. Natalizumab was associated with increased risk of both post-DMT relapse and CDP."
PIIS0165572817300553.pdf,0.9,Massive intracerebral Epstein-Barr virus reactivation in lethal multiple sclerosis relapse after natalizumab withdrawal,"The higher frequency of EBV lytically infected cells, including some cerebrovascular endothelia, and granzyme B+ CD8+ T cells in immunologically active lesions suggests a link between in situ EBV reactivation, cytotoxic activity and highly destructive inflammation. These results may encourage switching to B-cell depleting therapy after natalizumab discontinuation.",Case study (post-mortem analysis),Multiple sclerosis patient (50-year-old male with relapsing-remitting MS),Natalizumab withdrawal,Not Found,Lethal multiple sclerosis relapse due to massive intracerebral Epstein-Barr virus reactivation,Numerous EBV-infected B cells/plasma cells and CD8+ T cells infiltrated all white matter lesions; the highest frequency of EBV lytically infected cells and granzyme B+ CD8+ T cells was observed in actively demyelinating lesions.
PIIS0165572818300468.pdf,0.9,Epstein-Barr virus-associated immune reconstitution inflammatory syndrome as possible cause of fulminant multiple sclerosis relapse after natalizumab interruption,This condition represents an EBV-associated immune reconstitution inflammatory syndrome,Case study (postmortem analysis),Multiple sclerosis patients with fulminant relapse after natalizumab discontinuation,Natalizumab interruption,Not Found,Fulminant multiple sclerosis relapse,"Detection of EBV latent, early and late lytic proteins, EBV-specific CD8+ T cells, and cell-free EBV DNA in postmortem brain tissue and CSF, indicating widespread EBV infection and immune reconstitution inflammatory syndrome"
PIIS2211034821002418.pdf,0.9,Natalizumab discontinuation in a Dutch real-world cohort,"JCV positivity seems the most frequent reason for natalizumab discontinuation. The heterogeneity in treatment switches reflects the advances made in treatment options, and underlines the need for adequate patient counselling.",Observational cohort study,Multiple sclerosis patients treated with natalizumab at the Amsterdam UMC,Natalizumab treatment,Not Found,"Reasons for treatment discontinuation (e.g., JCV positivity, PML, disease progression, etc.)","Of 253 natalizumab-treated MS patients, 147 discontinued treatment; most frequently due to JCV positivity. Other reasons included PML (5 patients), disease progression (8), pregnancy (3), allergic reactions (12), side effects (2), patient preference (4), clinical stabilisation (3), or other/unknown (7). Treatment switches included fingolimod, ocrelizumab, aHSCT, interferon-beta, etc. JCV seroconversion occurred in 22.5% of the total cohort. Radiological and clinical disease activity post-discontinuation varied by treatment switch type."
PIIS2211034821002613.pdf,0.9,The use of digital biomarkers to distinguish healthy controls from patients with radiologically isolated syndrome (RIS),"MSST requires only a smartphone to obtain digital biomarkers related to several dimensions of the neurological examination. Our results highlighted subtle differences between HCs and patients with RIS. We plan to evaluate this tool in MS patients, which will allow a much larger sample of patients, to determine whether digital biomarkers can predict disease course.",Observational cohort study,Healthy controls (HCs) and patients with radiologically isolated syndrome (RIS),Smartphone application called MS Screen Test (MSST),Age- and gender-matched healthy controls (HCs),"Digital biomarkers related to neurological examination dimensions (finger tapping speed, agility, hand synchronization, low contrast vision, cognition)","Thirty-seven HCs underwent two consecutive evaluations on MSST, which showed good reproducibility for all measures. Then, the findings from 21 patients with RIS were compared with those from 32 matched HCs. Compared with HCs, patients with RIS had a lower finger tapping speed on the dominant hand (5.6 versus 6.5 taps/s; p = 0.005), a longer inter-hand interval during the hand synchronization task (14.4 versus 11.3 ms; p = 0.03) and significantly poorer scores on the low contrast vision and cognition tests."
"Polman et al. - 2006 - A randomized, placebo-controlled trial of natalizumab for relapsing multiple sclerosis.pdf",1.0,"A Randomized, Placebo-Controlled Trial of Natalizumab for Relapsing Multiple Sclerosis",Natalizumab reduced the risk of the sustained progression of disability and the rate of clinical relapse in patients with relapsing multiple sclerosis. Adhesion-molecule inhibitors hold promise as an effective treatment for relapsing multiple sclerosis.,"Randomized, Placebo-Controlled Trial","Adults (18-50 years) with relapsing multiple sclerosis, EDSS 0-5.0, with MRI lesions and at least one relapse in the prior year, excluding progressive forms",Natalizumab (300 mg) by intravenous infusion every four weeks,Placebo by intravenous infusion every four weeks,"Primary: rate of clinical relapse at 1 year and sustained progression of disability (EDSS) at 2 years; Secondary: number of new/enlarging T2-hyperintense lesions, gadolinium-enhancing lesions, relapse-free patients",Natalizumab reduced the risk of sustained progression of disability by 42% over two years (hazard ratio 0.58). It reduced the annualized relapse rate by 68% at one year. There was an 83% reduction in new/enlarging T2-hyperintense lesions and 92% reduction in gadolinium-enhancing lesions over two years. Adverse events: fatigue (27% vs 21%) and allergic reaction (9% vs 4%) more frequent in natalizumab group.
PPA-20791-an-update-on-the-use-of-natalizumab-in-the-treatment-of-mult_051915.pdf,0.9,An update on the use of natalizumab in the treatment of multiple sclerosis: appropriate patient selection and special considerations,"Natalizumab is a highly effective and well-tolerated therapy for patients with active MS. Recent data have demonstrated sustained efficacy on long-term use with no new safety concerns. Treatment is limited by the risk of PML. Although risk stratification allows estimation of a low, intermediate, or high PML risk, current strategies do not allow risk prediction in the individual patient. Other effective treatment options, such as fingolimod or alemtuzumab, may be considered on an individual basis, since there are no class I comparative trials available. Discontinuation of natalizumab may lead to recurrence of disease activity. Pre-natalizumab activity levels as well as duration of the washout period may influence the postnatalizumab relapse risk. Fingolimod may help to diminish recurrence of disease activity, in particular, if the washout period is kept short. There are no data available on switching from natalizumab to new orals or to other monoclonal antibodies, such as alemtuzumab.",Review,Patients with multiple sclerosis (MS),Natalizumab,"Natalizumab compared to placebo, interferon beta, glatiramer acetate, fingolimod, and alemtuzumab","Relapse rate reduction, prevention of disability progression, PML incidence, quality of life improvement","Short-term and long-term efficacy data show natalizumab reduces relapse rate, disability progression, and MRI activity; it improves quality of life. Safety concerns include PML risk (3.78 cases/1000 patients) with risk factors JCV seropositivity, prior immunosuppressants, and >2 years treatment. Patient selection balances disease control vs PML risk; discontinuation leads to disease reactivation, with fingolimod as potential alternative after short washout."
Riancho et al. - 2021 - Does Extended Interval Dosing Natalizumab Preserve Effectiveness in Multiple Sclerosis A 7 Year-Ret.pdf,0.9,Does Extended Interval Dosing Natalizumab Preserve Effectiveness in Multiple Sclerosis? A 7 Year- Retrospective Observational Study,"long-term therapy with natalizumab in an EID setting following an SID regimen maintained its disease-modifying activity, and was safe and well tolerated for over 7 years. These encouraging observational results need to be confirmed in controlled clinical trials.",Observational retrospective cohort study,"39 patients with clinically deﬁnite relapsing multiple sclerosis (MS), initially treated with standard interval dosing (SID) of natalizumab then switched to extended interval dosing (EID)",Extended interval dosing (EID) of natalizumab (every 8 weeks),Standard interval dosing (SID) of natalizumab vs. Extended interval dosing (EID) of natalizumab,"annualized relapse rate (ARR), radiological activity, disability progression, and NEDA-3 status","EID preserved ARR, radiological activity, and prevented disability worsening during follow-up. The proportion of patients maintaining their NEDA-3 status after 24, 48, and 72 months of natalizumab administration in EID was 94%, 73%, and 70%, respectively. No cases of PML or other severe adverse reactions were reported."
Ryerson et al. - 2023 - Exploratory clinical efficacy and patient-reported outcomes from NOVA A randomized controlled study.pdf,0.9,Exploratory clinical efficacy and patient-reported outcomes from NOVA: A randomized controlled study of intravenous natalizumab 6-week dosing versus continued 4-week dosing for relapsing-remitting multiple sclerosis,"Our results support the findings of the primary and secondary magnetic resonance imaging and clinical outcomes of NOVA (Foley et al., 2022), and they support the conclusion that the majority of patients who are stable on natalizumab Q4W dosing can switch to Q6W without a clinically meaningful loss of efficacy.",Randomized controlled study,Patients (aged 18–60 years) with a diagnosis of relapsing-remitting multiple sclerosis (RRMS) who had been treated with natalizumab Q4W without relapse for ≥12 months and with EDSS scores <5.5,intravenous natalizumab 6-week dosing (Q6W),continued 4-week dosing (Q4W),"Exploratory clinical efficacy and patient-reported outcomes (PROs) including EDSS, Timed 25-Foot Walk (T25FW), 9-Hole Peg Test (9HPT), Symbol Digit Modalities Test (SDMT), Treatment Satisfaction Questionnaire for Medication (TSQM), Neuro-QoL fatigue questionnaire, Multiple Sclerosis Impact Scale (MSIS-29), EuroQol 5 Dimensions (EQ-5D-5 L), Clinical Global Impression (CGI) scales","No significant differences were observed in change from baseline to week 72 between natalizumab Q6W and Q4W groups for all exploratory clinical or PRO-related endpoints assessed. For the EQ-5D-5 L, a higher proportion of Q6W than Q4W patients demonstrated worsening."
Salhofer-Polanyi et al. - 2014 - What to expect after natalizumab cessation in a real-life setting.pdf,0.9,What to expect after natalizumab cessation in a real-life setting,"Our data suggest that rebound of MS disease activity affects a subgroup of patients (11.9%), especially those with low disease activity before natalizumab therapy and a longer treatment gap after its withdrawal. Early reinstatement of alternative treatment within 3 months after natalizumab discontinuation might help to prevent this rebound effect. Further research is necessary to better identify characteristics of patients, who are at risk of developing a rebound of disease activity.",Retrospective study,Patients with multiple sclerosis (MS) who discontinued natalizumab treatment,Discontinuation of natalizumab,Comparison between patients with and without rebound of MS disease activity after natalizumab discontinuation,"Clinical disease activity (annualized relapse rate, Expanded Disability Status Scale) and MRI disease activity (gadolinium-enhancing lesions, T2 lesion load) after natalizumab cessation","Among 201 MS patients who discontinued natalizumab, 11.9% experienced rebound disease activity within 12 months. Mean ARR and EDSS showed deterioration in the rebound group. Rebound was not associated with natalizumab exposure duration. Most patients (86.1%) switched to another therapy; early initiation of alternative therapy was more common in non-rebound group."
"Spelman et al. - 2017 - In treatment-naive patients with relapsing-remitting multiple sclerosis (RRMS), initiating natalizum.pdf",0.9,Comparative efficacy of switching to natalizumab in active multiple sclerosis,"Using large, real-world, propensity-matched datasets we demonstrate that after a relapse on IFNb or GA, switching to natalizumab (rather than between IFNb and GA) led to superior outcomes for patients in all measures assessed. In the absence of randomized clinical trials, propensity-matching techniques can estimate the benefits associated with various treatment decisions in a clinical practice setting. Using a large real-world dataset, we have shown that patients who relapse on BRACE therapies have better outcomes if they switch to natalizumab rather than switching to another BRACE therapy.",Propensity score matched observational study,Multiple sclerosis patients who relapsed on interferon-beta (IFNb) or glatiramer acetate (GA) therapy and switched therapy,Switching to natalizumab,Switching between glatiramer acetate (GA) and interferon-beta (IFNb),"Relapse rate, treatment persistence, disability progression, and total disability burden","Switching to natalizumab reduced annualized relapse rate in year one by 65–75%, the risk of first relapse by 53–82%, treatment discontinuation events by 48–65%, and reduced the risk of confirmed disability progression by 26% over the first 24 months post switch. In the total population, switching to natalizumab decreased the total disability burden by 1.54 EDSS-years (P < 0.0001) over the first 24 months post switch."
Subramanian et al. - 2021 - Natalizumab Induces Changes of Cerebrospinal Fluid Measures in Multiple Sclerosis.pdf,0.9,Natalizumab Induces Changes of Cerebrospinal Fluid Measures in Multiple Sclerosis,"In conclusion, we demonstrated that NTZ treatment induced a significant reduction of a spectrum of CSF inflammatory measures and the stabilization of radiological disease activity. The anti-inflammatory effect of NTZ was most evident in younger patients and in those at the early stage of the disease who had the highest inflammatory activity. Our findings emphasize the need for effective treatment strategies in early disease stages when inflammatory disease activity tends to be the highest.",Longitudinal retrospective study,Relapsing-remitting multiple sclerosis patients treated with natalizumab,Natalizumab treatment,Baseline vs. follow-up after natalizumab initiation,"Changes in cerebrospinal fluid inflammatory measures (e.g., leukocytes, protein, albumin quotient, IgG/IgM quotients/indices, CSF-restricted oligoclonal bands) and clinical/radiological outcomes (EDSS, T2 lesion volume, brain volume loss)","Natalizumab induced a decrease in CSF leukocytes (p < 1 × 10−15), CSF protein (p = 0.00007), the albumin quotient (p = 0.007), the IgG quotient (p = 6 × 10−15), the IgM quotient (p = 0.0002), the IgG index (p = 0.0004), the IgM index (p = 0.003) and the number of CSF-restricted oligoclonal bands (OCBs) (p = 0.0005). CSF-restricted OCBs positivity dropped from 94.6% to 86% but 26 patients (28%) had an increased number of OCBs at the follow-up. The baseline to follow-up EDSS and T2-LV were stable; a decrease in the relapse rate was consistent with a decrease in the CSF inflammatory markers and previous knowledge about the effectiveness of natalizumab. The average annualized brain volume loss during the follow-up was −0.50% (IQR = −0.96, −0.16) and was predicted by the baseline IgM index (B = −0.37; p = 0.003)."
Trojano et al. - 2021 - A randomized study of natalizumab dosing regimens for relapsing–remitting multiple sclerosis.pdf,0.9,A randomized study of natalizumab dosing regimens for relapsing–remitting multiple sclerosis,"Natalizumab 300 mg SC Q4W was comparable to 300 mg intravenous Q4W dosing with respect to efficacy, pharmacokinetics/pharmacodynamics, and safety. Administration of natalizumab Q12W was associated with increased MRI and relapse activity, leading to early closure of the Q12W study arms. These results suggest that SC administration of 300 mg natalizumab Q4W could be an alternative option for patients with RRMS.","Exploratory, dose- and frequency-blinded, prospective, randomized, dose-ranging phase 2 study",Clinically stable relapsing–remitting multiple sclerosis (RRMS) patients previously treated with 300 mg natalizumab intravenously for ≥12 months,"Natalizumab administered via various regimens (including 300 mg intravenous or subcutaneous every 4 weeks, 300 mg intravenous or subcutaneous every 12 weeks, 150 mg intravenous or subcutaneous every 12 weeks)","Different natalizumab dosing regimens (e.g., 300 mg intravenous vs subcutaneous every 4 weeks, 300 mg every 12 weeks vs 4 weeks, etc.)",Mean cumulative number of combined unique active MRI lesions at week 60; annualized relapse rate (ARR) at week 60; proportion of patients with protocol-defined relapse; proportion of patients with 12-week confirmed disability worsening; change in Expanded Disability Status Scale (EDSS) score from baseline through week 60,"290 patients enrolled; Q12W dosing arms closed early due to increased disease activity; 300 mg IV and SC Q4W arms showed comparable efficacy (MRI lesions, relapse rates), PK/PD, and safety; SC Q4W was comparable to IV Q4W in efficacy, PK/PD, and safety."
van Kempen et al. - 2018 - The majority of natalizumab-treated MS patients have high natalizumab concentrations at time of re-d.pdf,0.9,The majority of natalizumab-treated MS patients have high natalizumab concentrations at time of re-dosing,"The large majority (94%) of NTZ patients have high NTZ trough concentrations which could be an indication that most patients receive a “relative over-treatment.” Extended dose intervals could help reduce costs of medication and increase quality of life for the patient with fewer hospital visits, but further studies are needed to establish the safety of alternative treatment regimens.",Prospective observational cohort study,Patients with relapsing-remitting multiple sclerosis (RRMS) treated with natalizumab,Natalizumab (300 mg administered every 4 weeks),Not Found,"Natalizumab serum trough concentrations and disease activity (clinical exacerbations, MRI findings)","We measured high (≥10 µg/mL) natalizumab trough concentrations in 94% of patients. Intra-individual concentrations were stable. The spread in concentrations was substantial and did not correlate with disease activity. We found a negative association between natalizumab concentration and body weight (β = −0.30, p = 0.010)."
van Kempen et al. - 2020 - Personalized extended interval dosing of natalizumab in MS A prospective multicenter trial.pdf,0.9,Personalized extended interval dosing of natalizumab in MS - a prospective multicenter trial,Personalized extended interval dosing did not induce recurrence of MS disease activity. Natalizumab efficacy was maintained in stable MS patients receiving personalized extended interval dosing based on individual natalizumab concentrations.,prospective multicenter single-arm trial,Adult persons with relapsing remitting multiple sclerosis (RRMS) treated with natalizumab without disease activity in the year prior to enrollment,personalized extended interval dosing of natalizumab based on individual natalizumab trough concentrations,Not Found,"Primary outcome: occurrence of gadolinium enhancing lesions on MRI; Secondary outcomes: new/enlarging T2 lesions on MRI, relapses, progression on Expanded Disability Status Scale (EDSS), quality of life (MSIS-29 and SF-36), serum neurofilament light (NfL), natalizumab α4β1-integrin saturation, CD49d expression","Sixty-one patients were included. Eighty-four percent extended the interval from a 4-week interval to a 5-7-week interval. No patient developed gadolinium enhancing lesions (95% CI 0 – 7.4%) during follow-up. No new/enlarging T2 lesions (95% CI 0 – 7.4%) or relapses (95% CI 0 – 7.4%) were reported during follow-up and in the extension phase. Median EDSS was comparable at baseline (3.0, IQR 2.0-5.0) and after follow-up (3.0, IQR 2.0-5.0)."
"Walton et al. - 2020 - Rising prevalence of multiple sclerosis worldwide Insights from the Atlas of MS, third edition.pdf",0.9,"Rising prevalence of multiple sclerosis worldwide: Insights from the Atlas of MS, third edition","The global prevalence of MS has risen since 2013, but good surveillance data is not universal. Action is needed by multiple stakeholders to close knowledge gaps.",Epidemiologic study,People with multiple sclerosis (MS),Not Found,Comparison with 2013 data from the Atlas of MS,Prevalence and incidence of multiple sclerosis,"A total of 2.8 million people are estimated to live with MS worldwide (35.9 per 100,000 population). MS prevalence has increased in every world region since 2013. The pooled incidence rate across 75 reporting countries is 2.1 per 100,000 persons/year, and the mean age of diagnosis is 32 years. Females are twice as likely to live with MS as males."
Yousry et al. - 2006 - Evaluation of patients treated with natalizumab for progressive multifocal leukoencephalopathy.pdf,0.9,Evaluation of Patients Treated with Natalizumab for Progressive Multifocal Leukoencephalopathy,A detailed review of possible cases of PML in patients exposed to natalizumab found no new cases and suggested a risk of PML of roughly 1 in 1000 patients treated with natalizumab for a mean of 17.9 months. The risk associated with longer treatment is not known.,Observational Study,"Patients who participated in clinical trials of natalizumab for multiple sclerosis, Crohn’s disease, or rheumatoid arthritis (recent or long-term treatment recipients)",Natalizumab,Not Found,Progressive Multifocal Leukoencephalopathy (PML),"Of 3417 patients who had recently received natalizumab while participating in clinical trials, 3116 (91 percent) who were exposed to a mean of 17.9 monthly doses underwent evaluation for PML. Of these, 44 patients were referred to the expert panel because of clinical findings of possible PML, abnormalities on MRI, or a high plasma viral load of JC virus. No patient had detectable JC virus DNA in the cerebrospinal fluid. PML was ruled out in 43 of the 44 patients, but it could not be ruled out in one patient who had multiple sclerosis and progression of neurologic disease because data on cerebrospinal fluid testing and follow-up MRI were not available. Only the three previously reported cases of PML were confirmed (1.0 per 1000 treated patients; 95 percent confidence interval, 0.2 to 2.8 per 1000)."
