Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
2431,"Author: Perez-Lopez, C., Sama, A., Rodriguez-Martin, D., Moreno-Arostegui, J. M., Cabestany, J., Bayes, A., Mestre, B., Alcaine, S., Quispe, P., Laighin, G. O., Sweeney, D., Quinlan, L. R., Counihan, T. J., Browne, P., Annicchiarico, R., Costa, A., Lewy, H. and Rodriguez-Molinero, A.
Year: 2016
Title: Dopaminergic-induced dyskinesia assessment based on a single belt-worn accelerometer
Journal: Artif Intell Med
Volume: 67
Pages: 47-56
",,,,,,,,,,,,,,,,,,,
2435,"Author: Qi, Y., Soh, C. B., Gunawan, E., Low, K. S. and Thomas, R.
Year: 2016
Title: Assessment of Foot Trajectory for Human Gait Phase Detection Using Wireless Ultrasonic Sensor Network
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 24
Issue: 1
Pages: 88-97

",,,,,,,,,,,,,,,,,,,
2452,"Author: Rahimi, F., Bee, C., Duval, C., Boissy, P., Edwards, R. and Jog, M.
Year: 2014
Title: Using ecological whole body kinematics to evaluate effects of medication adjustment in Parkinson disease
Journal: J Parkinsons Dis
Volume: 4
Issue: 4
Pages: 617-27
Epub Date: 2014/07/25
Short Title: Using ecological whole body kinematics to evaluate effects of medication adjustment in Parkinson disease
Alternate Journal: Journal of Parkinson's disease
ISSN: 1877-7171
DOI: 10.3233/jpd-140370
",,,,,,,,,,,,,,,,,,,
2463,"Author: Ramsperger, R., Meckler, S., Heger, T., van Uem, J., Hucker, S., Braatz, U., Graessner, H., Berg, D., Manoli, Y., Serrano, J. A., Ferreira, J. J., Hobert, M. A. and Maetzler, W.
Year: 2016
Title: Continuous leg dyskinesia assessment in Parkinson's disease -clinical validity and ecological effect
Journal: Parkinsonism Relat Disord
Volume: 26
Pages: 41-6
Epub Date: 2016/03/10
Date: May
Short Title: Continuous leg dyskinesia assessment in Parkinson's disease -clinical validity and ecological effect
Alternate Journal: Parkinsonism & related disorders
ISSN: 1353-8020
DOI: 10.1016/j.parkreldis.2016.02.007
",,,,,,,,,,,,,,,,,,,
2475,"Author: Razjouyan, J., Lee, H., Parthasarathy, S., Mohler, J., Sharafkhaneh, A. and Najafi, B.
Year: 2017
Title: Improving Sleep Quality Assessment Using Wearable Sensors by Including Information From Postural/Sleep Position Changes and Body Acceleration: A Comparison of Chest-Worn Sensors, Wrist Actigraphy, and Polysomnography
Journal: J Clin Sleep Med
Volume: 13
Issue: 11
Pages: 1301-1310
Epub Date: 2017/10/11
Date: Nov 15
ISSN: 1550-9389
DOI: 10.5664/jcsm.6802
",,,,,,,,,,,,,,,,,,,
2517,"Raynor, H.
Year: 2014
Title: Monitoring capabilities of the Omron HJ-720ITC pedometer
Journal: Phys Sportsmed
Volume: 42
Issue: 1
Pages: 24-9
Epub Date: 2014/02/26
Date: Feb
Short Title: Monitoring capabilities of the Omron HJ-720ITC pedometer
Alternate Journal: The Physician and sportsmedicine
ISSN: 0091-3847 (Print)
0091-3847
DOI: 10.3810/psm.2014.02.2044
",,,,,,,,,,,,,,,,,,,
2522,"Author: Rigas, G., Gatsios, D., Fotiadis, D. I., Chondrogiorgi, M., Tsironis, C., Konitsiotis, S., Gentile, G., Marcante, A. and Antonini, A.
Year: 2016
Title: Tremor UPDRS estimation in home environment
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2016
Pages: 3642-3645
Epub Date: 2017/03/09
DOI: 10.1109/embc.2016.7591517
",,,,,,,,,,,,,,,,,,,
2536,"Author: Rocchi, L., Palmerini, L., Weiss, A., Herman, T. and Hausdorff, J. M.
Year: 2014
Title: Balance testing with inertial sensors in patients with Parkinson's disease: assessment of motor subtypes
Journal: IEEE Trans Neural Syst Rehabil Eng
Volume: 22
Issue: 5
Pages: 1064-71
Epub Date: 2014/04/25
DOI: 10.1109/tnsre.2013.2292496
",,,,,,,,,,,,,,,,,,,
2541,"Author: Rodriguez-Villegas, E., Chen, G., Radcliffe, J. and Duncan, J.
Year: 2014
Title: A pilot study of a wearable apnoea detection device
Journal: BMJ Open
Volume: 4
Issue: 10
Pages: e005299
Epub Date: 2014/10/05
Date: Oct 3
Short Title: A pilot study of a wearable apnoea detection device
Alternate Journal: BMJ open
ISSN: 2044-6055
DOI: 10.1136/bmjopen-2014-005299
",,,,,,,,,,,,,,,,,,,
2542,"Author: Rodriguez-Martin, D., Sama, A., Perez-Lopez, C., Catala, A., Moreno Arostegui, J. M., Cabestany, J., Bayes, A., Alcaine, S., Mestre, B., Prats, A., Crespo, M. C., Counihan, T. J., Browne, P., Quinlan, L. R., G, O. Laighin, Sweeney, D., Lewy, H., Azuri, J., Vainstein, G., Annicchiarico, R., Costa, A. and Rodriguez-Molinero, A.
Year: 2017
Title: Home detection of freezing of gait using support vector machines through a single waist-worn triaxial accelerometer
Journal: PLoS One
Volume: 12
Issue: 2
DOI: 10.1371/journal.pone.0171764
",,,,,,,,,,,,,,,,,,,
2543,"Author: Rodriguez-Molinero, A., Perez-Lopez, C., Sama, A., de Mingo, E., Rodriguez-Martin, D., Hernandez-Vara, J., Bayes, A., Moral, A., Alvarez, R., Perez-Martinez, D. A. and Catala, A.
Year: 2018
Title: A Kinematic Sensor and Algorithm to Detect Motor Fluctuations in Parkinson Disease: Validation Study Under Real Conditions of Use
Journal: JMIR Rehabil Assist Technol
Volume: 5
Issue: 1
Pages: e8
DOI: 10.2196/rehab.8335
",,,,,,,,,,,,,,,,,,,
2544,"Author: Rodriguez-Molinero, A., Sama, A., Perez-Lopez, C., Rodriguez-Martin, D., Alcaine, S., Mestre, B., Quispe, P., Giuliani, B., Vainstein, G., Browne, P., Sweeney, D., Moreno Arostegui, J. M., Bayes, A., Lewy, H., Costa, A., Annicchiarico, R., Counihan, T., Laighin, G. O. and Cabestany, J.
Year: 2017
Title: Analysis of Correlation between an Accelerometer-Based Algorithm for Detecting Parkinsonian Gait and UPDRS Subscales
Journal: Front Neurol
Volume: 8
Pages: 431
DOI: 10.3389/fneur.2017.00431
",,,,,,,,,,,,,,,,,,,
2545,"Author: Rodriguez-Molinero, A., Sama, A., Perez-Martinez, D. A., Perez Lopez, C., Romagosa, J., Bayes, A., Sanz, P., Calopa, M., Galvez-Barron, C., de Mingo, E., Rodriguez Martin, D., Gonzalo, N., Formiga, F., Cabestany, J. and Catala, A.
Year: 2015
Title: Validation of a portable device for mapping motor and gait disturbances in Parkinson's disease
Journal: JMIR Mhealth Uhealth
Volume: 3
Issue: 1
Pages: e9
DOI: 10.2196/mhealth.3321
",,,,,,,,,,,,,,,,,,,
2557,"Author: Rosenwein, T., Dafna, E., Tarasiuk, A. and Zigel, Y.
Year: 2014
Title: Detection of breathing sounds during sleep using non-contact audio recordings
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2014
Pages: 1489-92
",,,,,,,,,,,,,,,,,,,
2570,"Author: Roy, S., Cheng, M., Chang, S., Moore, J., De Luca, G., Nawab, S. and De Luca, C.
Year: 2014
Title: A Combined sEMG and Accelerometer System for Monitoring Functional Activity in Stroke
Journal: IEEE Trans Neural Syst Rehabil Eng
",,,,,,,,,,,,,,,,,,,
2571,"Author: Rubio, N., Parker, R. A., Drost, E. M., Pinnock, H., Weir, C. J., Hanley, J., Mantoani, L. C., MacNee, W., McKinstry, B. and Rabinovich, R. A.
Year: 2017
Title: Home monitoring of breathing rate in people with chronic obstructive pulmonary disease: observational study of feasibility, acceptability, and change after exacerbation
Journal: Int J Chron Obstruct Pulmon Dis
Volume: 12
Pages: 1221-1231
",,,,,,,,,,,,,,,,,,,
2580,"Author: Ryan, J. M., Walsh, M. and Gormley, J.
Year: 2014
Title: A comparison of three accelerometry-based devices for estimating energy expenditure in adults and children with cerebral palsy
Journal: J Neuroeng Rehabil
Volume: 11
Pages: 116
",,,,,,,,,,,,,,,,,,,
2596,"Author: Saggio, G., Quitadamo, L. R. and Albero, L.
Year: 2014
Title: Development and evaluation of a novel low-cost sensor-based knee flexion angle measurement system
Journal: Knee
Volume: 21
Issue: 5
Pages: 896-901
",,,,,,,,,,,,,,,,,,,
2598,"Author: Sahoo, P. K., Thakkar, H. K. and Lee, M. Y.
Year: 2017
Title: A Cardiac Early Warning System with Multi Channel SCG and ECG Monitoring for Mobile Health
Journal: Sensors (Basel)
Volume: 17
Issue: 4
",,,,,,,,,,,,,,,,,,,
2602,"Author: Salazar, A. J., Silva, A. S., Silva, C., Borges, C. M., Correia, M. V., Santos, R. S. and Vilas-Boas, J. P.
Year: 2014
Title: Low-cost wearable data acquisition for stroke rehabilitation: a proof-of-concept study on accelerometry for functional task assessment
Journal: Top Stroke Rehabil
Volume: 21
Issue: 1
Pages: 12-22
",,,,,,,,,,,,,,,,,,,
2617,"Author: Sama, A., Perez-Lopez, C., Rodriguez-Martin, D., Catala, A., Moreno-Arostegui, J. M., Cabestany, J., de Mingo, E. and Rodriguez-Molinero, A.
Year: 2017
Title: Estimating bradykinesia severity in Parkinson's disease by analysing gait through a waist-worn sensor
Journal: Comput Biol Med
Volume: 84
Pages: 114-123
",,,,,,,,,,,,,,,,,,,
2625,"Author: Sankarpandi, S. K., Baldwin, A. J., Ray, J. and Mazza, C.
Year: 2017
Title: Reliability of inertial sensors in the assessment of patients with vestibular disorders: a feasibility study
Journal: BMC Ear Nose Throat Disord
Volume: 17
Pages: 1
",,,,,,,,,,,,,,,,,,,
2652,"Author: Sayeed, T., Sama, A., Catala, A., Rodriguez-Molinero, A. and Cabestany, J.
Year: 2015
Title: Adapted step length estimators for patients with Parkinson's disease using a lateral belt worn accelerometer
Journal: Technol Health Care
Volume: 23
Issue: 2
Pages: 179-94
",,,,,,,,,,,,,,,,,,,
2665,"Author: Schlachetzki, J. C. M., Barth, J., Marxreiter, F., Gossler, J., Kohl, Z., Reinfelder, S., Gassner, H., Aminian, K., Eskofier, B. M., Winkler, J. and Klucken, J.
Year: 2017
Title: Wearable sensors objectively measure gait parameters in Parkinson's disease
Journal: PLoS One
Volume: 12
Issue: 10
Pages: e0183989
",,,,,,,,,,,,,,,,,,,
2673,"Author: Schoot, T. S., Weenk, M., van de Belt, T. H., Engelen, L. J., van Goor, H. and Bredie, S. J.
Year: 2016
Title: A New Cuffless Device for Measuring Blood Pressure: A Real-Life Validation Study
Journal: J Med Internet Res
Volume: 18
Issue: 5
Pages: e85
",,,,,,,,,,,,,,,,,,,
2684,"Author: Schwenk, M., Hauer, K., Zieschang, T., Englert, S., Mohler, J. and Najafi, B.
Year: 2014
Title: Sensor-derived physical activity parameters can predict future falls in people with dementia
Journal: Gerontology
Volume: 60
Issue: 6
Pages: 483-92
",,,,,,,,,,,,,,,,,,,
2693,"Author: Seiter, J., Derungs, A., Schuster-Amft, C., Amft, O. and Troster, G.
Year: 2015
Title: Daily life activity routine discovery in hemiparetic rehabilitation patients using topic models
Journal: Methods Inf Med
Volume: 54
Issue: 3
Pages: 248-55
",,,,,,,,,,,,,,,,,,,
2694,"Author: Sejdic, E., Lowry, K. A., Bellanca, J., Perera, S., Redfern, M. S. and Brach, J. S.
Year: 2016
Title: Extraction of stride events from gait accelerometry during treadmill walking
Journal: IEEE J Transl Eng Health Med
Volume: 4
",,,,,,,,,,,,,,,,,,,
2729,"Author: Sharifi, A., Varsavsky, A., Ulloa, J., Horsburgh, J. C., McAuley, S. A., Krishnamurthy, B., Jenkins, A. J., Colman, P. G., Ward, G. M., MacIsaac, R. J., Shah, R. and O'Neal, D. N.
Year: 2016
Title: Redundancy in Glucose Sensing: Enhanced Accuracy and Reliability of an Electrochemical Redundant Sensor for Continuous Glucose Monitoring
Journal: J Diabetes Sci Technol
Volume: 10
Issue: 3
Pages: 669-78
",,,,,,,,,,,,,,,,,,,
2730,"Author: Sharkey, K. M., Waters, K., Millman, R. P., Moore, R., Martin, S. M. and Bourjeily, G.
Year: 2014
Title: Validation of the Apnea Risk Evaluation System (ARES) device against laboratory polysomnography in pregnant women at risk for obstructive sleep apnea syndrome
Journal: J Clin Sleep Med
Volume: 10
Issue: 5
Pages: 497-502
",,,,,,,,,,,,,,,,,,,
2731,"Author: Sharp, C., Soleimani, V., Hannuna, S., Camplani, M., Damen, D., Viner, J., Mirmehdi, M. and Dodd, J. W.
Year: 2017
Title: Toward Respiratory Assessment Using Depth Measurements from a Time-of-Flight Sensor
Journal: Front Physiol
Volume: 8
Pages: 65
",,,,,,,,,,,,,,,,,,,
2737,"Author: Shen, H., Zhao, J., Zhou, X., Li, J., Wan, Q., Huang, J., Li, H., Wu, L., Yang, S. and Wang, P.
Year: 2017
Title: Impaired chronotropic response to physical activities in heart failure patients
Journal: BMC Cardiovasc Disord
Volume: 17
Issue: 1
Pages: 136
",,,,,,,,,,,,,,,,,,,
2774,"Author: Sinha, M., McKeon, K. M., Parker, S., Goergen, L. G., Zheng, H., El-Khatib, F. H. and Russell, S. J.
Year: 2017
Title: A Comparison of Time Delay in Three Continuous Glucose Monitors for Adolescents and Adults
Journal: J Diabetes Sci Technol
Volume: 11
Issue: 6
Pages: 1132-1137
",,,,,,,,,,,,,,,,,,,
2783,"Author: Skender, S., Schrotz-King, P., Bohm, J., Abbenhardt, C., Gigic, B., Chang-Claude, J., Siegel, E. M., Steindorf, K. and Ulrich, C. M.
Year: 2015
Title: Repeat physical activity measurement by accelerometry among colorectal cancer patients--feasibility and minimal number of days of monitoring
Journal: BMC Res Notes
Volume: 8
Pages: 222
",,,,,,,,,,,,,,,,,,,
2785,"Author: Skobel, E., Martinez-Romero, A., Scheibe, B., Schauerte, P., Marx, N., Luprano, J. and Knackstedt, C.
Year: 2014
Title: Evaluation of a newly designed shirt-based ECG and breathing sensor for home-based training as part of cardiac rehabilitation for coronary artery disease
Journal: Eur J Prev Cardiol
Volume: 21
Issue: 11
Pages: 1332-40
",,,,,,,,,,,,,,,,,,,
2798,"Author: Victoria MJ Smith, Jonathan S Varsanik, Rachel A Walker, Andrew W Russo, Kevin R Patel,
Wendy Gabel, Glenn A Phillips, Zebadiah M Kimmel and Eric C Klawiter
Year: 2018
Title: Movement measurements at home for multiple sclerosis: walking speed measured by a novel ambient measurement system
Journal: Mult Scler J Exp Transl Clin
Volume: 4
Issue: 1
Pages: 2055217317753465
",,,,,,,,,,,,,,,,,,,
2800,"Author: Smith, Y. K. and Verrett, R. G.
Year: 2014
Title: Evaluation of a novel device for measuring patient compliance with oral appliances in the treatment of obstructive sleep apnea
Journal: J Prosthodont
Volume: 23
Issue: 1
Pages: 31-8
",,,,,,,,,,,,,,,,,,,
2822,"Author: Spasojevic, S., Ilic, T. V., Milanovic, S., Potkonjak, V., Rodic, A. and Santos-Victor, J.
Year: 2017
Title: Combined Vision and Wearable Sensors-based System for Movement Analysis in Rehabilitation
Journal: Methods Inf Med
Volume: 56
Issue: 2
Pages: 95-111
",,,,,,,,,,,,,,,,,,,
2837,"Author: Stack, E., Agarwal, V., King, R., Burnett, M., Tahavori, F., Janko, B., Harwin, W., Ashburn, A. and Kunkel, D.
Year: 2018
Title: Identifying balance impairments in people with Parkinson's disease using video and wearable sensors
Journal: Gait Posture
Volume: 62
Pages: 321-326
",,,,,,,,,,,,,,,,,,,
2846,"Author: Stefani, A., Heidbreder, A., Brandauer, E., Guaita, M., Neier, L. M., Mitterling, T., Santamaria, J., Iranzo, A., Videnovic, A., Trenkwalder, C., Sixel-Doring, F., Wenning, G. K., Chade, A., Poewe, W., Gershanik, O. S. and Hogl, B.
Year: 2018
Title: Screening for idiopathic REM sleep behavior disorder: usefulness of actigraphy
Journal: Sleep
Volume: 41
Issue: 6
",,,,,,,,,,,,,,,,,,,
2849,"Author: Stenerson, M., Cameron, F., Payne, S. R., Payne, S. L., Ly, T. T., Wilson, D. M. and Buckingham, B. A.
Year: 2015
Title: The impact of accelerometer use in exercise-associated hypoglycemia prevention in type 1 diabetes
Journal: J Diabetes Sci Technol
Volume: 9
Issue: 1
Pages: 80-5
",,,,,,,,,,,,,,,,,,,
2862,"Author: Storm, F. A., Nair, K. P. S., Clarke, A. J., Van der Meulen, J. M. and Mazza, C.
Year: 2018
Title: Free-living and laboratory gait characteristics in patients with multiple sclerosis
Journal: PLoS One
Volume: 13
Issue: 5
Pages: e0196463
",,,,,,,,,,,,,,,,,,,
2897,"Author: Suppa, A., Kita, A., Leodori, G., Zampogna, A., Nicolini, E., Lorenzi, P., Rao, R. and Irrera, F.
Year: 2017
Title: l-DOPA and Freezing of Gait in Parkinson's Disease: Objective Assessment through a Wearable Wireless System
Journal: Front Neurol
Volume: 8
Pages: 406
",,,,,,,,,,,,,,,,,,,
2907,"Author: Svagard, I., Austad, H. O., Seeberg, T., Vedum, J., Liverud, A., Mathiesen, B. M., Keller, B., Bendixen, O. C., Osborne, P. and Strisland, F.
Year: 2014
Title: A usability study of a mobile monitoring system for congestive heart failure patients
Journal: Stud Health Technol Inform
Volume: 205
Pages: 528-32
",,,,,,,,,,,,,,,,,,,
2950,"Author: 
Ruth E. Taylor-Piliae, M. Jane Mohler, Bijan Najafi & Bruce M. Coull
Year: 2016
Title: Objective fall risk detection in stroke survivors using wearable sensor technology: a feasibility study
Journal: Top Stroke Rehabil
Volume: 23
Issue: 6
Pages: 393-399",,,,,,,,,,,,,,,,,,,
2968,"Author: Thanawattano, C., Pongthornseri, R., Anan, C., Dumnin, S. and Bhidayasiri, R.
Year: 2015
Title: Temporal fluctuations of tremor signals from inertial sensor: a preliminary study in differentiating Parkinson's disease from essential tremor
Journal: Biomed Eng Online
Volume: 14
Pages: 101
",,,,,,,,,,,,,,,,,,,
3016,"Author: Tran, V. P. and Ali Al-Jumaily, A.
Year: 2015
Title: Non-contact dual pulse Doppler system based respiratory and heart rates estimation for CHF patients
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2015
Pages: 4202-5
",,,,,,,,,,,,,,,,,,,
3029,"Author: Trost, S. G., Fragala-Pinkham, M., Lennon, N. and O'Neil, M. E.
Year: 2016
Title: Decision Trees for Detection of Activity Intensity in Youth with Cerebral Palsy
Journal: Med Sci Sports Exerc
Volume: 48
Issue: 5
Pages: 958-66
",,,,,,,,,,,,,,,,,,,
3040,"Author: Tucker, C. S., Behoora, I., Nembhard, H. B., Lewis, M., Sterling, N. W. and Huang, X.
Year: 2015
Title: Machine learning classification of medication adherence in patients with movement disorders using non-wearable sensors
Journal: Comput Biol Med
Volume: 66
Pages: 120-34",,,,,,,,,,,,,,,,,,,
3050,"Author: Tung, J. Y., Ng, H., Moore, C. and Giangregorio, L.
Year: 2014
Title: Can we use accelerometry to monitor balance exercise performance in older adults?
Journal: Gait Posture
Volume: 39
Issue: 3
Pages: 991-4
",,,,,,,,,,,,,,,,,,,
3056,"Author: Tzallas, A. T., Tsipouras, M. G., Rigas, G., Tsalikakis, D. G., Karvounis, E. C., Chondrogiorgi, M., Psomadellis, F., Cancela, J., Pastorino, M., Waldmeyer, M. T., Konitsiotis, S. and Fotiadis, D. I.
Year: 2014
Title: PERFORM: a system for monitoring, assessment and management of patients with Parkinson's disease
Journal: Sensors (Basel)
Volume: 14
Issue: 11
Pages: 21329-57
",,,,,,,,,,,,,,,,,,,
3065,"Author: Ummels, D., Beekman, E., Theunissen, K., Braun, S. and Beurskens, A. J.
Year: 2018
Title: Counting Steps in Activities of Daily Living in People With a Chronic Disease Using Nine Commercially Available Fitness Trackers: Cross-Sectional Validity Study
Journal: JMIR Mhealth Uhealth
Volume: 6
Issue: 4
Pages: e70
",,,,,,,,,,,,,,,,,,,
3071,"Author: Urovi, V., Jimenez-Del-Toro, O., Dubosson, F., Ruiz Torres, A. and Schumacher, M. I.
Year: 2017
Title: COMPOSE: Using temporal patterns for interpreting wearable sensor data with computer interpretable guidelines
Journal: Comput Biol Med
Volume: 81
Pages: 24-31
",,,,,,,,,,,,,,,,,,,
3082,"Author: Valenza, G., Nardelli, M., Lanata, A., Gentili, C., Bertschy, G., Paradiso, R. and Scilingo, E. P.
Year: 2014
Title: Wearable monitoring for mood recognition in bipolar disorder based on history-dependent long-term heart rate variability analysis
Journal: IEEE J Biomed Health Inform
Volume: 18
Issue: 5
Pages: 1625-35
",,,,,,,,,,,,,,,,,,,
3086,"Author: Van Blarigan, E. L., Kenfield, S. A., Tantum, L., Cadmus-Bertram, L. A., Carroll, P. R. and Chan, J. M.
Year: 2017
Title: The Fitbit One Physical Activity Tracker in Men With Prostate Cancer: Validation Study
Journal: JMIR Cancer
Volume: 3
Issue: 1
Pages: e5
",,,,,,,,,,,,,,,,,,,
3091,"Author: van der Weegen, S., Essers, H., Spreeuwenberg, M., Verwey, R., Tange, H., de Witte, L. and Meijer, K.
Year: 2015
Title: Concurrent validity of the MOX activity monitor compared to the ActiGraph GT3X
Journal: Telemed J E Health
Volume: 21
Issue: 4
Pages: 259-66
",,,,,,,,,,,,,,,,,,,
3098,"Author: van Laarhoven, S. N., Lipperts, M., Bolink, S. A., Senden, R., Heyligers, I. C. and Grimm, B.
Year: 2016
Title: Validation of a novel activity monitor in impaired, slow-walking, crutch-supported patients
Journal: Ann Phys Rehabil Med
Volume: 59
Issue: 5-6
Pages: 308-313
",,,,,,,,,,,,,,,,,,,
3103,"Author: van Schie, M. K., Werth, E., Lammers, G. J., Overeem, S., Baumann, C. R. and Fronczek, R.
Year: 2016
Title: Improved vigilance after sodium oxybate treatment in narcolepsy: a comparison between in-field and in-laboratory measurements
Journal: J Sleep Res
Volume: 25
Issue: 4
Pages: 486-96
",,,,,,,,,,,,,,,,,,,
3110,"Author: Vandecasteele, K., De Cooman, T., Gu, Y., Cleeren, E., Claes, K., Paesschen, W. V., Huffel, S. V. and Hunyadi, B.
Year: 2017
Title: Automated Epileptic Seizure Detection Based on Wearable ECG and PPG in a Hospital Environment
Journal: Sensors (Basel)
Volume: 17
Issue: 10
",,,,,,,,,,,,,,,,,,,
3127,"Author: Vaughan, L., Redline, S., Stone, K., Ulanski, J., Rueschman, M., Dailey, H., Rapp, S. R., Snively, B. M., Baker, L. D. and Shumaker, S. A.
Year: 2016
Title: Feasibility of self-administered sleep assessment in older women in the Women's Health Initiative (WHI)
Journal: Sleep Breath
Volume: 20
Issue: 3
Pages: 1079-91
Epub Date: 2016/01/31",,,,,,,,,,,,,,,,,,,
3166,"Author: Vooijs, M., Alpay, L. L., Snoeck-Stroband, J. B., Beerthuizen, T., Siemonsma, P. C., Abbink, J. J., Sont, J. K. and Rovekamp, T. A.
Year: 2014
Title: Validity and usability of low-cost accelerometers for internet-based self-monitoring of physical activity in patients with chronic obstructive pulmonary disease
Journal: Interact J Med Res
Volume: 3
Issue: 4
Pages: e14",,,,,,,,,,,,,,,,,,,
3168,"Author: Voss, C., Gardner, R. F., Dean, P. H. and Harris, K. C.
Year: 2017
Title: Validity of Commercial Activity Trackers in Children With Congenital Heart Disease
Journal: Can J Cardiol
Volume: 33
Issue: 6
Pages: 799-805",,,,,,,,,,,,,,,,,,,
3181,"Author: Waliany, S., Dieli-Conwright, C. M., Frankel, P. H., Hurria, A., Chao, J., Tiep, B. and Mortimer, J. E.
Year: 2014
Title: Validation and feasibility of a caloric expenditure measuring device in women with early-stage breast cancer
Journal: Support Care Cancer
Volume: 22
Issue: 9
Pages: 2329-36",,,,,,,,,,,,,,,,,,,
3187,"Author: Wallen, M. B., Dohrn, I. M., Stahle, A., Franzen, E. and Hagstromer, M.
Year: 2014
Title: Comparison of pedometer and accelerometer derived steps in older individuals with Parkinson's disease or osteoporosis under free-living conditions
Journal: J Aging Phys Act
Volume: 22
Issue: 4
Pages: 550-6",,,,,,,,,,,,,,,,,,,
3190,"Author: Walton, C., Patel, M., Pitts, D., Knight, P., Hoashi, S., Evans, M. and Turner, C.
Year: 2014
Title: The use of a portable breath analysis device in monitoring type 1 diabetes patients in a hypoglycaemic clamp: validation with SIFT-MS data
Journal: J Breath Res
Volume: 8
Issue: 3
Pages: 037108",,,,,,,,,,,,,,,,,,,
3231,"Author: Ward, K. L., McArdle, N., James, A., Bremner, A. P., Simpson, L., Cooper, M. N., Palmer, L. J., Fedson, A. C., Mukherjee, S. and Hillman, D. R.
Year: 2015
Title: A Comprehensive Evaluation of a Two-Channel Portable Monitor to ""Rule in"" Obstructive Sleep Apnea
Journal: J Clin Sleep Med
Volume: 11
Issue: 4
Pages: 433-44",,,,,,,,,,,,,,,,,,,
3235,"Author: Watanabe, A., Noguchi, H., Oe, M., Sanada, H. and Mori, T.
Year: 2017
Title: Development of a Plantar Load Estimation Algorithm for Evaluation of Forefoot Load of Diabetic Patients during Daily Walks Using a Foot Motion Sensor
Journal: J Diabetes Res
Volume: 2017
Pages: 5350616",,,,,,,,,,,,,,,,,,,
3262,"Author: Wendel, N., Macpherson, C. E., Webber, K., Hendron, K., Tamara, D., Cristina, C. S. and Ellis, T.
Year: 2018
Title: Accuracy of Activity Trackers in Parkinson Disease: Should We Prescribe Them?
Journal: Phys Ther
Epub Date: 2018/05/03",,,,,,,,,,,,,,,,,,,
3348,"Author: Xu, L., Han, F., Keenan, B. T., Kneeland-Szanto, E., Yan, H., Dong, X., Chang, Y., Zhao, L., Zhang, X., Li, J., Pack, A. I. and Kuna, S. T.
Year: 2017
Title: Validation of the Nox-T3 Portable Monitor for Diagnosis of Obstructive Sleep Apnea in Chinese Adults
Journal: J Clin Sleep Med
Volume: 13
Issue: 5
Pages: 675-683",,,,,,,,,,,,,,,,,,,
3382,"Author: Yavelberg, L., Zaharieva, D., Cinar, A., Riddell, M. C. and Jamnik, V.
Year: 2018
Title: A Pilot Study Validating Select Research-Grade and Consumer-Based Wearables Throughout a Range of Dynamic Exercise Intensities in Persons With and Without Type 1 Diabetes: A Novel Approach
Journal: J Diabetes Sci Technol
Volume: 12
Issue: 3
Pages: 569-576
",,,,,,,,,,,,,,,,,,,
3399,"Author: Younes, M., Soiferman, M., Thompson, W. and Giannouli, E.
Year: 2017
Title: Performance of a New Portable Wireless Sleep Monitor
Journal: J Clin Sleep Med
Volume: 13
Issue: 2
Pages: 245-258
",,,,,,,,,,,,,,,,,,,
3402,"Author: Yu, L., Xiong, D., Guo, L. and Wang, J.
Year: 2016
Title: A remote quantitative Fugl-Meyer assessment framework for stroke patients based on wearable sensor networks
Journal: Comput Methods Programs Biomed
Volume: 128
Pages: 100-10
",,,,,,,,,,,,,,,,,,,
3432,"Author: Zhang, C., Bin Altaf, M. A. and Yoo, J.
Year: 2016
Title: Design and Implementation of an On-Chip Patient-Specific Closed-Loop Seizure Onset and Termination Detection System
Journal: IEEE J Biomed Health Inform
Volume: 20
Issue: 4
Pages: 996-1007
",,,,,,,,,,,,,,,,,,,
3458,"Author: Zheng, X., Vieira Campos, A., Ordieres-Mere, J., Balseiro, J., Labrador Marcos, S. and Aladro, Y.
Year: 2017
Title: Continuous Monitoring of Essential Tremor Using a Portable System Based on Smartwatch
Journal: Front Neurol
Volume: 8
Pages: 96
",,,,,,,,,,,,,,,,,,,
3476,"Author: Zijlstra, W. M. H., Ploegstra, M. J., Vissia-Kazemier, T., Roofthooft, M. T. R., Sarvaas, G. D. M., Bartelds, B., Rackowitz, A., van den Heuvel, F., Hillege, H. L., Plasqui, G. and Berger, R. M. F.
Year: 2017
Title: Physical Activity in Pediatric Pulmonary Arterial Hypertension Measured by Accelerometry. A Candidate Clinical Endpoint
Journal: Am J Respir Crit Care Med
Volume: 196
Issue: 2
Pages: 220-227
",,,,,,,,,,,,,,,,,,,
1366,"Author: Jao, Y. L., Gardner, S. E. and Carr, L. J.
Year: 2017
Title: Measuring Weight-Bearing Activities in Patients With Previous Diabetic Foot Ulcers
Journal: J Wound Ostomy Continence Nurs
Volume: 44
Issue: 1
Pages: 34-40
",,,,,,,,,,,,,,,,,,,
